Fecha,Tipo fuente,Suma de Generación
2015-01-01,Combustible fósil,49.36550594
2015-01-01,Hidráulica,85.41363505
2015-01-02,Combustible fósil,51.2255938
2015-01-02,Hidráulica,104.98169021
2015-01-03,Combustible fósil,53.3988347
2015-01-03,Hidráulica,103.86585074
2015-01-04,Combustible fósil,54.6765431
2015-01-04,Hidráulica,92.11786167
2015-01-05,Combustible fósil,60.00949096
2015-01-05,Hidráulica,112.1425711
2015-01-06,Combustible fósil,55.56060643
2015-01-06,Hidráulica,121.20834572
2015-01-07,Combustible fósil,62.83567441
2015-01-07,Hidráulica,115.99981332
2015-01-08,Combustible fósil,60.46811925
2015-01-08,Hidráulica,119.48059119
2015-01-09,Combustible fósil,65.56686166
2015-01-09,Hidráulica,114.17067677
2015-01-10,Combustible fósil,69.73728031
2015-01-10,Hidráulica,96.97076358
2015-01-11,Combustible fósil,66.97142108
2015-01-11,Hidráulica,83.86608257
2015-01-12,Combustible fósil,63.69982328
2015-01-12,Hidráulica,91.47524238
2015-01-13,Combustible fósil,63.91688549
2015-01-13,Hidráulica,114.0379717
2015-01-14,Combustible fósil,58.33078882
2015-01-14,Hidráulica,126.41818832
2015-01-15,Combustible fósil,52.19740642
2015-01-15,Hidráulica,131.80277808
2015-01-16,Combustible fósil,54.28666366
2015-01-16,Hidráulica,133.47252794
2015-01-17,Combustible fósil,59.72520603
2015-01-17,Hidráulica,118.00541579
2015-01-18,Combustible fósil,48.47547005
2015-01-18,Hidráulica,108.4614813
2015-01-19,Combustible fósil,51.10025933
2015-01-19,Hidráulica,130.75472348
2015-01-20,Combustible fósil,54.19238281
2015-01-20,Hidráulica,131.21675456
2015-01-21,Combustible fósil,57.18267582
2015-01-21,Hidráulica,127.4802731
2015-01-22,Combustible fósil,49.03621234
2015-01-22,Hidráulica,131.75763267
2015-01-23,Combustible fósil,51.58615457
2015-01-23,Hidráulica,127.92221397
2015-01-24,Combustible fósil,48.49222534
2015-01-24,Hidráulica,121.76934364
2015-01-25,Combustible fósil,44.64195786
2015-01-25,Hidráulica,109.59737689
2015-01-26,Combustible fósil,45.50359549
2015-01-26,Hidráulica,135.35003353
2015-01-27,Combustible fósil,41.0002832
2015-01-27,Hidráulica,143.11315655
2015-01-28,Combustible fósil,45.16151477
2015-01-28,Hidráulica,138.55210405
2015-01-29,Combustible fósil,48.44466069
2015-01-29,Hidráulica,135.31515905
2015-01-30,Combustible fósil,51.42648001
2015-01-30,Hidráulica,132.3630831
2015-01-31,Combustible fósil,46.44426918
2015-01-31,Hidráulica,125.33582161
2015-02-01,Combustible fósil,50.64550404
2015-02-01,Hidráulica,102.86434485
2015-02-02,Combustible fósil,49.50025279
2015-02-02,Hidráulica,130.60688794
2015-02-03,Combustible fósil,48.73173898
2015-02-03,Hidráulica,134.28935577
2015-02-04,Combustible fósil,49.01611607
2015-02-04,Hidráulica,137.32134701
2015-02-05,Combustible fósil,50.96184935
2015-02-05,Hidráulica,136.46867897
2015-02-06,Combustible fósil,46.06201197
2015-02-06,Hidráulica,140.04628132
2015-02-07,Combustible fósil,47.83203097
2015-02-07,Hidráulica,126.35030971
2015-02-08,Combustible fósil,53.31613774
2015-02-08,Hidráulica,100.82997705
2015-02-09,Combustible fósil,51.47237701
2015-02-09,Hidráulica,127.76116919
2015-02-10,Combustible fósil,48.56742621
2015-02-10,Hidráulica,134.45077911
2015-02-11,Combustible fósil,43.55227583
2015-02-11,Hidráulica,140.13597307
2015-02-12,Combustible fósil,45.49810116
2015-02-12,Hidráulica,138.51719563
2015-02-13,Combustible fósil,44.60866931
2015-02-13,Hidráulica,141.84805332
2015-02-14,Combustible fósil,37.55639939
2015-02-14,Hidráulica,136.85048127
2015-02-15,Combustible fósil,33.87580842
2015-02-15,Hidráulica,122.43564033
2015-02-16,Combustible fósil,27.57132561
2015-02-16,Hidráulica,154.50846416
2015-02-17,Combustible fósil,35.75506726
2015-02-17,Hidráulica,149.6346457
2015-02-18,Combustible fósil,35.00196907
2015-02-18,Hidráulica,153.91038533
2015-02-19,Combustible fósil,37.99885335
2015-02-19,Hidráulica,150.03503228
2015-02-20,Combustible fósil,39.13970817
2015-02-20,Hidráulica,149.38418437
2015-02-21,Combustible fósil,39.88767312
2015-02-21,Hidráulica,140.24953434
2015-02-22,Combustible fósil,40.73220098
2015-02-22,Hidráulica,122.37808474
2015-02-23,Combustible fósil,42.1413908
2015-02-23,Hidráulica,143.73721979
2015-02-24,Combustible fósil,42.5625376
2015-02-24,Hidráulica,148.50540959
