Fecha,Suma de Generación,Tipo fuente
2015-01-01,0.458204,Biomasa
2015-01-01,0.27839697,Eólica
2015-01-02,0.60666698,Biomasa
2015-01-02,0.30272035,Eólica
2015-01-03,0.89688512,Biomasa
2015-01-03,0.2985789,Eólica
2015-01-04,1.23400329,Biomasa
2015-01-04,0.22587482,Eólica
2015-01-05,1.2363903,Biomasa
2015-01-05,0.07551596,Eólica
2015-01-06,1.40617437,Biomasa
2015-01-06,0.24978833,Eólica
2015-01-07,1.43537756,Biomasa
2015-01-07,0.24609838,Eólica
2015-01-08,1.42732839,Biomasa
2015-01-08,0.20329813,Eólica
2015-01-09,1.35008413,Biomasa
2015-01-09,0.20693492,Eólica
2015-01-10,1.20057976,Biomasa
2015-01-10,0.19376249,Eólica
2015-01-11,1.13382991,Biomasa
2015-01-11,0.24705643,Eólica
2015-01-12,1.1189345,Biomasa
2015-01-12,0.23056143,Eólica
2015-01-13,0.91564576,Biomasa
2015-01-13,0.1999974,Eólica
2015-01-14,1.09381331,Biomasa
2015-01-14,0.18248669,Eólica
2015-01-15,1.01935286,Biomasa
2015-01-15,0.18441746,Eólica
2015-01-16,1.11868796,Biomasa
2015-01-16,0.14514943,Eólica
2015-01-17,1.09855976,Biomasa
2015-01-17,0.10780889,Eólica
2015-01-18,1.09919852,Biomasa
2015-01-18,0.12359175,Eólica
2015-01-19,1.144466,Biomasa
2015-01-19,0.11696903,Eólica
2015-01-20,1.10069411,Biomasa
2015-01-20,0.13273231,Eólica
2015-01-21,1.51503122,Biomasa
2015-01-21,0.09690611,Eólica
2015-01-22,1.50551067,Biomasa
2015-01-22,0.14741121,Eólica
2015-01-23,1.4479034,Biomasa
2015-01-23,0.1160999,Eólica
2015-01-24,1.44383989,Biomasa
2015-01-24,0.13200263,Eólica
2015-01-25,1.32696384,Biomasa
2015-01-25,0.14379944,Eólica
2015-01-26,1.29184974,Biomasa
2015-01-26,0.18980022,Eólica
2015-01-27,1.47151954,Biomasa
2015-01-27,0.14948977,Eólica
2015-01-28,1.45169161,Biomasa
2015-01-28,0.1564334,Eólica
2015-01-29,1.42626261,Biomasa
2015-01-29,0.17178579,Eólica
2015-01-30,1.43422364,Biomasa
2015-01-30,0.18189245,Eólica
2015-01-31,1.41099162,Biomasa
2015-01-31,0.19724299,Eólica
2015-02-01,1.39457783,Biomasa
2015-02-01,0.23282099,Eólica
2015-02-02,1.39416366,Biomasa
2015-02-02,0.2268755,Eólica
2015-02-03,1.33063225,Biomasa
2015-02-03,0.26844927,Eólica
2015-02-04,1.35019983,Biomasa
2015-02-04,0.27191168,Eólica
2015-02-05,1.31871767,Biomasa
2015-02-05,0.22990261,Eólica
2015-02-06,1.23661108,Biomasa
2015-02-06,0.22027389,Eólica
2015-02-07,1.31957188,Biomasa
2015-02-07,0.03869323,Eólica
2015-02-08,1.39292495,Biomasa
2015-02-08,0.11290763,Eólica
2015-02-09,1.3369623,Biomasa
2015-02-09,0.09142087,Eólica
2015-02-10,1.28660532,Biomasa
2015-02-10,0.01745051,Eólica
2015-02-11,1.32730397,Biomasa
2015-02-11,0.00949848,Eólica
2015-02-12,1.39787147,Biomasa
2015-02-12,0.06970993,Eólica
2015-02-13,1.41543889,Biomasa
2015-02-13,0.14766004,Eólica
2015-02-14,1.36891156,Biomasa
2015-02-14,0.18661338,Eólica
2015-02-15,1.36102737,Biomasa
2015-02-15,0.08638147,Eólica
2015-02-16,1.34020233,Biomasa
2015-02-16,0.22978181,Eólica
2015-02-17,1.38814144,Biomasa
2015-02-17,0.21701967,Eólica
2015-02-18,1.38190702,Biomasa
2015-02-18,0.13093955,Eólica
2015-02-19,1.34392585,Biomasa
2015-02-19,0.17423126,Eólica
2015-02-20,1.33480316,Biomasa
2015-02-20,0.1374208,Eólica
2015-02-21,1.39648468,Biomasa
2015-02-21,0.21735371,Eólica
2015-02-22,1.45042273,Biomasa
2015-02-22,0.23617506,Eólica
2015-02-23,1.22674688,Biomasa
2015-02-23,0.20720744,Eólica
2015-02-24,1.37945512,Biomasa
2015-02-24,0.19110876,Eólica
2015-02-25,1.39519721,Biomasa
2015-02-25,0.21319769,Eólica
2015-02-26,1.41038536,Biomasa
2015-02-26,0.19906954,Eólica
2015-02-27,1.38797184,Biomasa
2015-02-27,0.27313663,Eólica
2015-02-28,1.45033643,Biomasa
2015-02-28,0.27383725,Eólica
2015-03-01,1.39326516,Biomasa
2015-03-01,0.21086603,Eólica
2015-03-02,1.4692605,Biomasa
2015-03-02,0.16822374,Eólica
2015-03-03,1.39143726,Biomasa
2015-03-03,0.19814915,Eólica
2015-03-04,1.49311551,Biomasa
2015-03-04,0.25423219,Eólica
2015-03-05,1.37832588,Biomasa
2015-03-05,0.27038449,Eólica
2015-03-06,1.42576867,Biomasa
2015-03-06,0.26750345,Eólica
2015-03-07,1.53140808,Biomasa
2015-03-07,0.23908856,Eólica
2015-03-08,1.45907074,Biomasa
2015-03-08,0.29866131,Eólica
2015-03-09,1.42176416,Biomasa
2015-03-09,0.22574126,Eólica
2015-03-10,1.51654051,Biomasa
2015-03-10,0.29871749,Eólica
2015-03-11,1.40143856,Biomasa
2015-03-11,0.30980193,Eólica
2015-03-12,1.10419468,Biomasa
2015-03-12,0.28215865,Eólica
2015-03-13,1.28728303,Biomasa
2015-03-13,0.26691633,Eólica
2015-03-14,1.52071654,Biomasa
2015-03-14,0.28190512,Eólica
2015-03-15,1.38019604,Biomasa
2015-03-15,0.23826727,Eólica
2015-03-16,1.3293264,Biomasa
2015-03-16,0.22356901,Eólica
2015-03-17,1.42903048,Biomasa
2015-03-17,0.15186068,Eólica
2015-03-18,1.459193,Biomasa
2015-03-18,0.13528253,Eólica
2015-03-19,1.31351074,Biomasa
2015-03-19,0.16670064,Eólica
2015-03-20,1.40432004,Biomasa
2015-03-20,0.1645131,Eólica
2015-03-21,1.4947823,Biomasa
2015-03-21,0.09057935,Eólica
2015-03-22,1.49090458,Biomasa
2015-03-22,0.09891985,Eólica
2015-03-23,1.49592698,Biomasa
2015-03-23,0.13627674,Eólica
2015-03-24,1.32408706,Biomasa
2015-03-24,0.16261924,Eólica
2015-03-25,1.11177178,Biomasa
2015-03-25,0.16942667,Eólica
2015-03-26,1.07396619,Biomasa
2015-03-26,0.18009069,Eólica
2015-03-27,1.03422507,Biomasa
2015-03-27,0.20625109,Eólica
2015-03-28,1.08468085,Biomasa
2015-03-28,0.22740871,Eólica
2015-03-29,1.13441276,Biomasa
2015-03-29,0.20628431,Eólica
2015-03-30,0.99408505,Biomasa
2015-03-30,0.16717745,Eólica
2015-03-31,1.10864324,Biomasa
2015-03-31,0.16637748,Eólica
2015-04-01,1.04312382,Biomasa
2015-04-01,0.20294149,Eólica
2015-04-02,1.09422855,Biomasa
2015-04-02,0.23872081,Eólica
2015-04-03,1.35717294,Biomasa
2015-04-03,0.22049305,Eólica
2015-04-04,1.36591859,Biomasa
2015-04-04,0.2107407,Eólica
2015-04-05,1.35354313,Biomasa
2015-04-05,0.20151494,Eólica
2015-04-06,1.36557135,Biomasa
2015-04-06,0.24003546,Eólica
2015-04-07,1.55580906,Biomasa
2015-04-07,0.25219102,Eólica
2015-04-08,1.35762039,Biomasa
2015-04-08,0.26010426,Eólica
2015-04-09,1.10002357,Biomasa
2015-04-09,0.25313883,Eólica
2015-04-10,1.3256648,Biomasa
2015-04-10,0.28244244,Eólica
2015-04-11,1.49020734,Biomasa
2015-04-11,0.27187874,Eólica
2015-04-12,1.58450042,Biomasa
2015-04-12,0.26747291,Eólica
2015-04-13,1.45413982,Biomasa
2015-04-13,0.25857721,Eólica
2015-04-14,1.41407403,Biomasa
2015-04-14,0.23071754,Eólica
2015-04-15,1.35846925,Biomasa
2015-04-15,0.23793375,Eólica
2015-04-16,1.426017,Biomasa
2015-04-16,0.2366439,Eólica
2015-04-17,1.40610143,Biomasa
2015-04-17,0.21744108,Eólica
2015-04-18,1.45679249,Biomasa
2015-04-18,0.17707797,Eólica
2015-04-19,1.47716877,Biomasa
2015-04-19,0.12997668,Eólica
2015-04-20,1.39988164,Biomasa
2015-04-20,0.18283832,Eólica
2015-04-21,1.39464762,Biomasa
2015-04-21,0.16479315,Eólica
2015-04-22,1.45124778,Biomasa
2015-04-22,0.22966144,Eólica
2015-04-23,1.44195938,Biomasa
2015-04-23,0.2122598,Eólica
2015-04-24,1.49561487,Biomasa
2015-04-24,0.22154124,Eólica
2015-04-25,1.56318793,Biomasa
2015-04-25,0.17999409,Eólica
2015-04-26,1.57291149,Biomasa
2015-04-26,0.14647406,Eólica
2015-04-27,1.54248861,Biomasa
2015-04-27,0.14331096,Eólica
2015-04-28,1.52782984,Biomasa
2015-04-28,0.15185256,Eólica
2015-04-29,1.6112789,Biomasa
2015-04-29,0.12301065,Eólica
2015-04-30,1.40983324,Biomasa
2015-04-30,0.10882987,Eólica
2015-05-01,1.39415528,Biomasa
2015-05-01,0.1285451,Eólica
2015-05-02,1.2581641,Biomasa
2015-05-02,0.15721167,Eólica
2015-05-03,0.96967849,Biomasa
2015-05-03,0.21038244,Eólica
2015-05-04,0.8996528,Biomasa
2015-05-04,0.24365224,Eólica
2015-05-05,0.80902304,Biomasa
2015-05-05,0.21472995,Eólica
2015-05-06,0.80255256,Biomasa
2015-05-06,0.28420326,Eólica
2015-05-07,0.8087506,Biomasa
2015-05-07,0.21116203,Eólica
2015-05-08,0.8102278,Biomasa
2015-05-08,0.26058997,Eólica
2015-05-09,0.84067036,Biomasa
2015-05-09,0.2826034,Eólica
2015-05-10,0.81752059,Biomasa
2015-05-10,0.26637514,Eólica
2015-05-11,0.8354288,Biomasa
2015-05-11,0.23491613,Eólica
2015-05-12,0.84250681,Biomasa
2015-05-12,0.25192218,Eólica
2015-05-13,0.86619279,Biomasa
2015-05-13,0.1660229,Eólica
2015-05-14,0.99872476,Biomasa
2015-05-14,0.25223746,Eólica
2015-05-15,1.33138559,Biomasa
2015-05-15,0.24486666,Eólica
2015-05-16,1.47134801,Biomasa
2015-05-16,0.22193924,Eólica
2015-05-17,1.42727348,Biomasa
2015-05-17,0.17744331,Eólica
2015-05-18,1.2797627,Biomasa
2015-05-18,0.21075671,Eólica
2015-05-19,1.21716603,Biomasa
2015-05-19,0.1719442,Eólica
2015-05-20,1.24506896,Biomasa
2015-05-20,0.18263908,Eólica
2015-05-21,1.19344014,Biomasa
2015-05-21,0.1862439,Eólica
2015-05-22,1.47527058,Biomasa
2015-05-22,0.17044669,Eólica
2015-05-23,1.58628564,Biomasa
2015-05-23,0.21815572,Eólica
2015-05-24,1.56463402,Biomasa
2015-05-24,0.22921934,Eólica
2015-05-25,1.48432151,Biomasa
2015-05-25,0.21493193,Eólica
2015-05-26,1.38419056,Biomasa
2015-05-26,0.19503529,Eólica
2015-05-27,1.1531676,Biomasa
2015-05-27,0.19139359,Eólica
2015-05-28,1.42384306,Biomasa
2015-05-28,0.15531963,Eólica
2015-05-29,1.46662106,Biomasa
2015-05-29,0.08306353,Eólica
2015-05-30,1.26004756,Biomasa
2015-05-30,0.18146956,Eólica
2015-05-31,1.01611106,Biomasa
2015-05-31,0.1788117,Eólica
2015-06-01,0.80307806,Biomasa
2015-06-01,0.18677544,Eólica
2015-06-02,1.02941122,Biomasa
2015-06-02,0.19303079,Eólica
2015-06-03,1.08869606,Biomasa
2015-06-03,0.17399343,Eólica
2015-06-04,1.05230514,Biomasa
2015-06-04,0.15724081,Eólica
2015-06-05,1.38639287,Biomasa
2015-06-05,0.17638739,Eólica
2015-06-06,1.5279328,Biomasa
2015-06-06,0.13477325,Eólica
2015-06-07,1.56060094,Biomasa
2015-06-07,0.15629849,Eólica
2015-06-08,1.54323757,Biomasa
2015-06-08,0.17517937,Eólica
2015-06-09,1.50657246,Biomasa
2015-06-09,0.17670632,Eólica
2015-06-10,1.49463508,Biomasa
2015-06-10,0.2157836,Eólica
2015-06-11,1.58266938,Biomasa
2015-06-11,0.23590831,Eólica
2015-06-12,1.54547251,Biomasa
2015-06-12,0.22686099,Eólica
2015-06-13,1.54398656,Biomasa
2015-06-13,0.25844278,Eólica
2015-06-14,1.60071515,Biomasa
2015-06-14,0.27732785,Eólica
2015-06-15,1.63684551,Biomasa
2015-06-15,0.25943307,Eólica
2015-06-16,1.4970596,Biomasa
2015-06-16,0.25311527,Eólica
2015-06-17,1.57412974,Biomasa
2015-06-17,0.2834227,Eólica
2015-06-18,1.5325105,Biomasa
2015-06-18,0.22299346,Eólica
2015-06-19,1.41210788,Biomasa
2015-06-19,0.2934656,Eólica
2015-06-20,1.51880675,Biomasa
2015-06-20,0.28621073,Eólica
2015-06-21,1.57327495,Biomasa
2015-06-21,0.30093637,Eólica
2015-06-22,1.51478441,Biomasa
2015-06-22,0.25906799,Eólica
2015-06-23,1.54451053,Biomasa
2015-06-23,0.27791964,Eólica
2015-06-24,1.41301856,Biomasa
2015-06-24,0.31041453,Eólica
2015-06-25,1.57620366,Biomasa
2015-06-25,0.30123275,Eólica
2015-06-26,1.55055089,Biomasa
2015-06-26,0.31687527,Eólica
2015-06-27,1.55252452,Biomasa
2015-06-27,0.24748438,Eólica
2015-06-28,1.592748,Biomasa
2015-06-28,0.27368495,Eólica
2015-06-29,1.57583388,Biomasa
2015-06-29,0.24243957,Eólica
2015-06-30,1.5490705,Biomasa
2015-06-30,0.2321809,Eólica
2015-07-01,1.51488305,Biomasa
2015-07-01,0.22615442,Eólica
2015-07-02,1.52540791,Biomasa
2015-07-02,0.27932266,Eólica
2015-07-03,1.52632732,Biomasa
2015-07-03,0.30186805,Eólica
2015-07-04,1.58481043,Biomasa
2015-07-04,0.3078721,Eólica
2015-07-05,1.50278468,Biomasa
2015-07-05,0.31896638,Eólica
2015-07-06,1.48452199,Biomasa
2015-07-06,0.26687245,Eólica
2015-07-07,1.41003251,Biomasa
2015-07-07,0.24619461,Eólica
2015-07-08,1.45155478,Biomasa
2015-07-08,0.24716638,Eólica
2015-07-09,1.50901385,Biomasa
2015-07-09,0.26136179,Eólica
2015-07-10,1.46716422,Biomasa
2015-07-10,0.25820656,Eólica
2015-07-11,1.50805504,Biomasa
2015-07-11,0.2365336,Eólica
2015-07-12,1.57944236,Biomasa
2015-07-12,0.21381164,Eólica
2015-07-13,1.30604426,Biomasa
2015-07-13,0.16017489,Eólica
2015-07-14,1.38771659,Biomasa
2015-07-14,0.19939531,Eólica
2015-07-15,1.45861617,Biomasa
2015-07-15,0.20824664,Eólica
2015-07-16,1.46457767,Biomasa
2015-07-16,0.19493467,Eólica
2015-07-17,1.45736992,Biomasa
2015-07-17,0.20646025,Eólica
2015-07-18,1.49022983,Biomasa
2015-07-18,0.21325537,Eólica
2015-07-19,1.50974566,Biomasa
2015-07-19,0.1995941,Eólica
2015-07-20,1.52073225,Biomasa
2015-07-20,0.1679559,Eólica
2015-07-21,1.49501866,Biomasa
2015-07-21,0.17283978,Eólica
2015-07-22,1.32382602,Biomasa
2015-07-22,0.18360052,Eólica
2015-07-23,1.51445409,Biomasa
2015-07-23,0.20932662,Eólica
2015-07-24,1.4463503,Biomasa
2015-07-24,0.20670478,Eólica
2015-07-25,1.50091684,Biomasa
2015-07-25,0.21937596,Eólica
2015-07-26,1.55398005,Biomasa
2015-07-26,0.25950886,Eólica
2015-07-27,1.54835531,Biomasa
2015-07-27,0.27586302,Eólica
2015-07-28,1.46332457,Biomasa
2015-07-28,0.24444556,Eólica
2015-07-29,1.48660658,Biomasa
2015-07-29,0.27118484,Eólica
2015-07-30,1.54639964,Biomasa
2015-07-30,0.22291979,Eólica
2015-07-31,1.36012138,Biomasa
2015-07-31,0.18763298,Eólica
2015-08-01,1.53755159,Biomasa
2015-08-01,0.21941172,Eólica
2015-08-02,1.53471583,Biomasa
2015-08-02,0.23962407,Eólica
2015-08-03,1.47877591,Biomasa
2015-08-03,0.23163701,Eólica
2015-08-04,1.43615794,Biomasa
2015-08-04,0.24747974,Eólica
2015-08-05,1.25751548,Biomasa
2015-08-05,0.25856659,Eólica
2015-08-06,1.40497206,Biomasa
2015-08-06,0.26107521,Eólica
2015-08-07,1.44158406,Biomasa
2015-08-07,0.24944529,Eólica
2015-08-08,1.44443904,Biomasa
2015-08-08,0.12662468,Eólica
2015-08-09,1.50028877,Biomasa
2015-08-09,0.15849388,Eólica
2015-08-10,1.43100436,Biomasa
2015-08-10,0.18038598,Eólica
2015-08-11,1.45154758,Biomasa
2015-08-11,0.20360171,Eólica
2015-08-12,1.44896001,Biomasa
2015-08-12,0.21285227,Eólica
2015-08-13,1.39374549,Biomasa
2015-08-13,0.21967362,Eólica
2015-08-14,1.41764344,Biomasa
2015-08-14,0.26525076,Eólica
2015-08-15,1.44860733,Biomasa
2015-08-15,0.26683366,Eólica
2015-08-16,1.46490875,Biomasa
2015-08-16,0.1924425,Eólica
2015-08-17,1.48745198,Biomasa
2015-08-17,0.20682964,Eólica
2015-08-18,1.22896803,Biomasa
2015-08-18,0.1839802,Eólica
2015-08-19,1.42821126,Biomasa
2015-08-19,0.20606864,Eólica
2015-08-20,1.38708196,Biomasa
2015-08-20,0.24617144,Eólica
2015-08-21,1.18183492,Biomasa
2015-08-21,0.22944944,Eólica
2015-08-22,1.32505509,Biomasa
2015-08-22,0.15656268,Eólica
2015-08-23,1.41505018,Biomasa
2015-08-23,0.17642695,Eólica
2015-08-24,1.40325208,Biomasa
2015-08-24,0.17986143,Eólica
2015-08-25,1.37553703,Biomasa
2015-08-25,0.15597262,Eólica
2015-08-26,1.36478473,Biomasa
2015-08-26,0.14253513,Eólica
2015-08-27,1.38496268,Biomasa
2015-08-27,0.11979199,Eólica
2015-08-28,1.40577028,Biomasa
2015-08-28,0.11117613,Eólica
2015-08-29,1.16655256,Biomasa
2015-08-29,0.0631519,Eólica
2015-08-30,1.34852237,Biomasa
2015-08-30,0.08575382,Eólica
2015-08-31,1.04698806,Biomasa
2015-08-31,0.13493208,Eólica
2015-09-01,1.0605386,Biomasa
2015-09-01,0.11780241,Eólica
2015-09-02,1.19715251,Biomasa
2015-09-02,0.04873954,Eólica
2015-09-03,0.97634163,Biomasa
2015-09-03,0.07503625,Eólica
2015-09-04,1.0195638,Biomasa
2015-09-04,0.0917121,Eólica
2015-09-05,1.06928725,Biomasa
2015-09-05,0.15575205,Eólica
2015-09-06,1.01217655,Biomasa
2015-09-06,0.16179811,Eólica
2015-09-07,0.85523676,Biomasa
2015-09-07,0.12146256,Eólica
2015-09-08,1.0582357,Biomasa
2015-09-08,0.20459406,Eólica
2015-09-09,1.05269247,Biomasa
2015-09-09,0.20947104,Eólica
2015-09-10,1.39729262,Biomasa
2015-09-10,0.1867586,Eólica
2015-09-11,1.162706,Biomasa
2015-09-11,0.10831831,Eólica
2015-09-12,1.46575552,Biomasa
2015-09-12,0.10894262,Eólica
2015-09-13,1.48182492,Biomasa
2015-09-13,0.07501448,Eólica
2015-09-14,1.45983929,Biomasa
2015-09-14,0.1978207,Eólica
2015-09-15,1.39797285,Biomasa
2015-09-15,0.17927781,Eólica
2015-09-16,1.50421221,Biomasa
2015-09-16,0.11449595,Eólica
2015-09-17,1.53260846,Biomasa
2015-09-17,0.13500347,Eólica
2015-09-18,1.53188546,Biomasa
2015-09-18,0.15329829,Eólica
2015-09-19,1.55548465,Biomasa
2015-09-19,0.07294348,Eólica
2015-09-20,1.59668273,Biomasa
2015-09-20,0.12464154,Eólica
2015-09-21,1.52113065,Biomasa
2015-09-21,0.06462109,Eólica
2015-09-22,1.59360463,Biomasa
2015-09-22,0.12011337,Eólica
2015-09-23,1.58113079,Biomasa
2015-09-23,0.14216565,Eólica
2015-09-24,1.56841042,Biomasa
2015-09-24,0.1129705,Eólica
2015-09-25,1.66803557,Biomasa
2015-09-25,0.09522207,Eólica
