FECHA;ALBAN;AMOYALAESPERANZA;BARRANQUILLA3;BARRANQUILLA4;BETANIA;CALIMA;CARLOSLLERAS;CARTAGENA1;CARTAGENA2;CARTAGENA3;CHIVOR;COROZO1;CUATRICENTENARIO1;CUCUANA;DARIOVALENCIASAMPER;ELQUIMBO;ESCUELADEMINAS;ESMERALDA;FLORES1;FLORES4B;FLORES4CC;FLORESICC;GECELCA3;GECELCA32;GUAJIRA1;GUAJIRA2;GUATAPE;GUATRON;GUAVIO;JAGUAS;LAGUNETA;LATASAJERA;MERILECTRICA1;MIELI;PAGUA;PAIPA1;PAIPA2;PAIPA3;PAIPA4;PLAYAS;PORCEII;PORCEIII;PRADO;PROELECTRICA;SALTOII;SALVAJINA;SANCARLOS;SANFRANCISCO;SANMIGUEL;SOGAMOSO;TASAJERO1;TASAJERO2;TEBSAB;TEBSABCC;TERMOCANDELARIA1;TERMOCANDELARIA2;TERMOCENTROCC;TERMODORADA1;TERMOEMCALI1;TERMOEMCALICC;TERMONORTE;TERMOSIERRAB;TERMOSIERRACC;TERMOVALLE1;TERMOVALLECC;TERMOYOPAL1;TERMOYOPAL2;TERMOYOPALG3;TERMOYOPALG4;TERMOYOPALG5;URRA;ZIPAEMG2;ZIPAEMG3;ZIPAEMG4;ZIPAEMG5
2018-04-20;105000;;532020;532650;80000;235000;;732938;719634;724069;56396.07;420000;413770;;;190000;;;365421;347291;;;268942;;262900;228896;56396.03;133000;120000;170000;;129000;334670;56396.02;56396;138321;137887;141782;117976;65000;56396.01;56396.06;56396.04;308064;;220000;56396.05;;;68000;124980;134980;362020;;523992;518804;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;175785;176519;173071
2018-04-21;75400;;532020;532650;56396.03;235000;;732938;719634;724069;56396.02;420000;412366;;;80000;;;374221;347291;;;268942;;262900;228896;56396.06;61500;150000;56396;;79000;334670;56396.05;56396.04;138321;137887;141782;117976;64000;133000;131000;56396.01;308064;;220000;68100;;;68000;124980;134980;361920;;523992;518804;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;175785;176519;173071
2018-04-22;180000;;531670;532300;56396;235000;;732938;719634;724069;56396.03;420000;413136;;;150000;;;374221;347291;;;268942;;302530;238736;56396.02;61500;119000;90000;;73000;323305;56396.04;56396.05;138321;137887;141782;117976;62000;133000;131000;56396.01;308064;;220000;68100;;;68000;124980;134980;361850;;523822;518636;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;175785;176519;173071
2018-04-23;125000;;531650;532290;56396;235000;;774069;769634;782938;85000;420000;413153;;;100000;;;374221;347291;;;268942;;302530;238736;56396.02;61500;130000;90000;;62000;323305;138000;56396.04;138321;137887;141782;117976;73000;113000;131000;56396.01;308064;;220000;56396.03;;;68000;124980;134980;361940;;523822;518636;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;175785;176519;173071
2018-04-24;117900;;531700;532340;150000;235000;;774069;769634;782938;56396.02;420000;413316;;;80000;;;344702;347291;;;268942;;302530;238736;56396.01;135000;112000;90000;;137000;323305;138000;56396.03;138321;137887;141782;117976;119000;56396;56396.05;56396.04;308064;;220000;56396.06;;;68000;119990;128980;361900;;523822;518636;550849;882677;558051;;;718241;;700000;;;55100;;;;395000;177617;175785;176519;173071
2018-04-25;105000;;531690;532320;100000;130000.01;;774069;769634;782938;56396.01;420000;413842;;;56396.06;;;388160;365026;;;268942;;302530;238736;56396.08;67000;130000;56396.04;;137000;323305;56396.02;56396.03;138321;137887;141782;117976;63000;56396;56396.07;56396.05;308064;;220000;134000;;;68000;119990;128980;361970;;523822;518636;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;175785;176519;173071
2018-04-26;103000;;531760;532390;101000;128000;;774069;769634;782938;56396.06;420000;413402;;;56396.02;;;390252;367008;;;268942;;302530;263069;56396.07;64000;57000;56396.01;;137000;323305;56396.04;56396;138321;137887;141782;117976;63000;56396.08;56396.05;56396.03;308064;;220000;124000;;;68000;119990;128980;361360;;523822;518636;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;175785;176519;173071
2018-04-27;99999;;531840;532480;56396.07;122999;;774069;769634;782938;56396.03;420000;412768;;;56396.02;;;390265;367020;;;268942;;302530;263069;56396.01;63000;65000;141000;;137000;323305;140000;120000;138321;137887;141782;117976;62000;56396;56396.06;56396.05;308064;;220000;56396.04;;;68000;119990;128980;362150;;523822;518636;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;175785;176519;173071
2018-04-28;115000;;533750;530670;80000;114000;;774069;769634;782938;56396;420000;412158;;;56396.06;;;390234;366991;;;268942;;302530;263069;56396.02;63000;65000;141000;;137000;323305;140000;56396.04;138321;137887;141782;117976;62000;135000;56396.05;56396.01;308064;;220000;56396.03;;;68000;120990;128980;374880;;523822;518636;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;173071;175785;176519
2018-04-29;79000;;538470;535360;80000;112999;;774069;769634;782938;56396;420000;412665;;;56396.07;;;394426;370821;;;268942;;302530;263069;140000;61496;65000;141000;;137000;331225;56396.05;56396.03;138321;137887;141782;117976;56396.02;56396.01;56396.04;56396.06;321981;;220000;68000;;;61000;120990;128980;377450;;529457;524215;550849;882677;558051;;;718241;;587119;;;55100;;;;395000;177617;173071;175785;176519
