DPTO_CCDGO,MPIO_CDPMP,DPTO_CNMBR,MPIO_CNMBR,POB_2012,POB_2015,POB_2020,ATITUD,CLIMA,PESO
"11","11001","Bogotá Distrito Capital","Bogotá Distrito Capital","7571345","7878783","8380801","2640","Frío","0.162538615116029"
"05","05001","Antioquia","Medellín","2393011","2464322","2569007","1405","Templado","0.0513722058494791"
"76","76001","Valle Del Cauca","Cali","2294653","2369821","2496442","926","Cálido seco","0.0492606955292411"
"08","08001","Atlántico","Barranquilla","1200513","1218475","1239518","24","Cálido húmedo","0.0257721343366059"
"13","13001","Bolívar","Cartagena de Indias","967103","1001755","1057445","1","Cálido húmedo","0.0207613815371717"
"54","54001","Norte De Santander","Cúcuta","630971","650011","680568","297","Cálido seco","0.0135454338058002"
"08","08758","Atlántico","Soledad","566784","615492","701047","5","Cálido húmedo","0.0121674928866567"
"73","73001","Tolima","Ibagué","537467","553524","579807","1168","Templado","0.0115381272218565"
"68","68001","Santander","Bucaramanga","526056","527913","528480","950","Cálido seco","0.0112931604243999"
"25","25754","Cundinamarca","Soacha","477918","511262","567546","2554","Frío","0.010259753037145"
"66","66001","Risaralda","Pereira","462209","469612","481080","1411","Templado","0.00992251848966924"
"47","47001","Magdalena","Santa Marta","461900","483865","524202","18","Cálido seco","0.00991588500089402"
"50","50001","Meta","Villavicencio","452522","484471","538523","450","Cálido húmedo","0.00971456183670613"
"05","05088","Antioquia","Bello","430034","455865","500125","1414","Templado","0.00923179842059852"
"20","20001","Cesar","Valledupar","423278","453215","503453","148","Cálido seco","0.00908676330679458"
"52","52001","Nariño","Pasto","423217","439993","464967","2543","Frío","0.00908545378312051"
"23","23001","Córdoba","Montería","422198","441301","471664","11","Cálido seco","0.00906357829748312"
"17","17001","Caldas","Manizales","391640","396075","402578","2146","Frío","0.00840757133957596"
"76","76109","Valle Del Cauca","Buenaventura","377105","399764","441109","7","Cálido húmedo","0.00809553975592583"
"41","41001","Huila","Neiva","335490","342117","350388","442","Cálido seco","0.00720216553139193"
"76","76520","Valle Del Cauca","Palmira","298671","304735","314411","1001","Templado","0.00641174992228192"
"63","63001","Quindío","Armenia","292045","296683","304216","1621","Templado","0.00626950559663584"
"19","19001","Cauca","Popayán","270340","277540","288411","1750","Templado","0.00580355131227904"
"70","70001","Sucre","Sincelejo","263776","275207","294650","197","Cálido seco","0.00566263797790825"
"68","68276","Santander","Floridablanca","263041","265407","267886","878","Cálido seco","0.00564685929101573"
"05","05360","Antioquia","Itagüi","258520","267851","282792","1627","Templado","0.00554980426592579"
"44","44001","La Guajira","Riohacha","231653","259492","304925","3","Cálido seco","0.00497303422410068"
"05","05266","Antioquia","Envigado","207290","222455","249046","1726","Templado","0.00445001905571622"
"76","76834","Valle Del Cauca","Tuluá","204138","211588","224280","1073","Templado","0.00438235317668868"
"66","66170","Risaralda","Dosquebradas","193024","198877","208647","1448","Templado","0.00414376225679274"
"68","68081","Santander","Barrancabermeja","191718","191768","191144","76","Cálido húmedo","0.00411572556960684"
"52","52835","Nariño","San Andres de Tumaco","187084","199659","221469","3","Cálido húmedo","0.00401624470557969"
"15","15001","Boyacá","Tunja","177971","188380","206827","2804","Frío","0.00382061045571359"
