id_medidor *,fecha,energia_kwh,potencia_kw,tension_fase_a,tension_fase_b,tension_fase_c,corriente_fase_a,corriente_fase_b,corriente_fase_c,factor_potencia,potencia_fase_a,potencia_fase_b,potencia_fase_c,potencia_reactiva_kvar,thd_tension,thd_corriente,Energia reactiva (kvar),Potencia aparente (kva),Frecuencia (Hz),Generación de energía (Kw/h)
1,11/02/2021 10:48:03,"198158,77","429496702,5","126,23","126,33","125,94","2,89","2,74","2,64","65,276",19,"6533,2","6527,9",<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,11/02/2021 07:18:28,"198154,11",142,"126,59","126,51","126,31","5,32","3,14","3,73","0,921","63,1","36,5","42,3",<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,11/02/2021 07:03:03,"198153,34","156,5","127,41","127,33","126,85","5,04","4,19","4,05","0,926","60,9","48,9","46,6",<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,11/02/2021 04:03:04,"198140,63","219,9","126,68","126,51","126,21","7,44","5,86","4,42","0,981",93,"71,9",55,<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,11/02/2021 03:48:04,"198139,5","207,2","127,41","126,88","126,49","5,82","5,67","5,07","0,985","73,5","70,6",63,<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,11/02/2021 00:18:03,"198123,87","220,7","126,5","126,15","125,85","6,7","5,94","5,28","0,976","84,1","71,9","64,6",<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,10/02/2021 23:48:04,"198121,37","250,3","126,41","126,24","126,03","8,43","6,39","5,58","0,971","104,6","77,4","68,1",<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,10/02/2021 16:48:07,"198089,95","187,5","128,14","127,88","127,49","6,01","4,55","5,64","0,905","70,9",53,"63,5",<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,10/02/2021 16:33:03,"198089,26","119,7","127,78","127,43","127,21","4,49","3,73","3,28","0,816","49,4",38,"32,3",<Null>,<Null>,<Null>,426000,<Null>,<Null>,<Null>
1,10/02/2021 14:17:57,"198085,14","153,4","126,68","126,61","126,21","5,79","4,17","4,17","0,858","66,7","44,9","41,8",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 14:02:56,"198084,71","19,9","127,05","126,79","126,49","2,63","2,42","2,14","0,218","16,7","6,8",6550,<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 13:48:04,"198084,4","429496644,6","127,41","127,15","126,85","2,72","3,04","3,01","64,774","6528,5","6522,3","6525,1",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 13:33:03,"198084,03","429496662,5","127,14","126,97","126,67","2,66","2,73","2,45","64,862","6528,8","6531,8","6533,2",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 12:18:05,"198082,27","429496664,7","126,87","126,42","126,21","2,46","3,03","2,93","64,926","6538,6","6531,2","6526,2",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 12:03:17,"198081,76","123,2","126,59","126,24","125,76","3,71","3,41","4,38","0,849","41,4",38,"43,6",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 11:48:55,"198081,04",429496684,"126,5","126,42","125,67","2,31","2,59","3,06","65,082","6545,8","6533,9","6535,5",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 11:33:01,"198080,78",34,"126,68","126,51","125,94","2,68","2,47","2,81","0,338","16,1","4,2","13,6",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 11:18:09,"198080,18","121,8","126,87","126,79","126,4","4,45","3,09","3,33","0,884","51,5","32,8","37,4",<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
1,10/02/2021 11:03:17,"198079,64","32,5","126,77","126,61","126,4","2,54","2,02","1,73","0,408",23,"5,5",4,<Null>,<Null>,<Null>,425000,<Null>,<Null>,<Null>
